车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
元UP,濮阳,31,SUV,9.68-11.98,新能源,9
RAV4荣放,铜仁,16,SUV,16.98-26.38,燃油车,2
奥迪A6L,铜仁,16,中大型车,42.79-65.68,燃油车,12
缤越,铜陵,16,SUV,6.68-10.38,燃油车,2
奥迪Q5L,通辽,16,SUV,34.98-48.88,燃油车,2
瑞虎8 PRO,通化,16,SUV,11.99-16.69,燃油车,2
艾瑞泽8,铁岭,16,紧凑型车,9.99-14.89,燃油车,3
坦克400新能源,宁波,31,SUV,27.98-28.98,新能源,9
福瑞迪,铁岭,16,紧凑型车,7.88-10.28,燃油车,3
凯美瑞,铁岭,16,中型车,17.18-25.98,燃油车,13
瑞虎8,天水,16,SUV,9.78-16.19,燃油车,2
宝骏悦也Plus,唐山,16,SUV,7.68-10.58,燃油车,2
风云T9,唐山,16,SUV,12.99-19.39,燃油车,2
AION Y,南阳,31,SUV,9.98-14.58,新能源,9
极狐 阿尔法S5,唐山,16,中型车,12.78-18.48,燃油车,4
宋L DM-i,南通,31,SUV,13.58-17.58,新能源,9
理想L6,南通,31,SUV,24.98-27.98,新能源,9
奔腾B70,唐山,16,中型车,9.88-14.49,燃油车,4
星瑞,泰州,16,紧凑型车,9.97-14.57,燃油车,3
奔驰GLB,泰州,16,SUV,31.19-36.79,燃油车,2
高尔夫,泰州,16,紧凑型车,12.99-16.58,燃油车,3
宋PLUS新能源,眉山,31,SUV,13.58-18.08,新能源,9
钛3,泰安,16,SUV,13.38-19.38,燃油车,2
AION RT,茂名,31,紧凑型车,11.98-16.58,新能源,0
元UP,茂名,31,SUV,9.68-11.98,新能源,9
坦克300,泰安,16,SUV,19.98-33.00,燃油车,2
君威,泰安,16,中型车,15.98-17.58,燃油车,4
小鹏MONA M03,洛阳,31,紧凑型车,11.98-15.58,新能源,0
哈弗H6,塔城,16,SUV,9.89-14.69,燃油车,2
朗逸,塔城,16,紧凑型车,8.00-15.19,燃油车,3
银河星舰7 EM-i,宿州,16,SUV,10.38-13.68,燃油车,2
海豹06新能源,六安,31,中型车,9.98-13.98,新能源,7
汉,六安,31,中大型车,16.58-25.98,新能源,11
奔腾小马,宿州,16,微型车,2.49-5.39,燃油车,4
银河E8,宿州,16,中大型车,15.38-22.88,燃油车,12
捷途X70,宿州,16,SUV,10.69-14.99,燃油车,2
昊铂HT,苏州,16,SUV,21.39-32.99,燃油车,2
马自达CX-50行也,苏州,16,SUV,15.98-23.98,燃油车,2
星途瑶光,苏州,16,SUV,14.98-20.68,燃油车,2
QQ冰淇淋,苏州,16,微型车,2.99-5.69,燃油车,2
吉利ICON,苏州,16,SUV,9.69-12.99,燃油车,2
红旗HS3 PHEV,聊城,31,SUV,15.98-15.98,新能源,9
五菱宏光新能源,聊城,31,MPV,6.88-7.38,新能源,1
锐际,苏州,16,SUV,16.98-22.18,燃油车,2
奔驰GLS,苏州,16,SUV,106.00-139.82,燃油车,2
艾力绅,苏州,16,MPV,27.98-33.18,燃油车,2
欧诺S,苏州,16,MPV,4.69-5.44,燃油车,2
五菱之光,苏州,16,MPV,3.51-3.79,燃油车,2
海狮05 EV,九江,31,SUV,11.78-13.78,新能源,9
银河星舰7 EM-i,宿迁,16,SUV,10.38-13.68,燃油车,2
博越L,宿迁,16,SUV,9.99-14.97,燃油车,2
零跑B10,济宁,31,SUV,9.98-14.98,新能源,9
海豹06GT,济宁,31,中型车,13.68-18.68,新能源,7
奥迪Q3,宿迁,16,SUV,25.18-29.68,燃油车,2
威兰达,随州,16,SUV,17.38-26.48,燃油车,2
瑞虎8 PRO,遂宁,16,SUV,11.99-16.69,燃油车,2
荣威RX5,遂宁,16,SUV,9.99-15.59,燃油车,2
哈弗大狗,绥化,16,SUV,11.99-16.79,燃油车,2
哈弗枭龙MAX,松原,16,SUV,13.18-17.98,燃油车,2
传祺GS3,松原,16,SUV,8.58-11.18,燃油车,2
卡罗拉锐放,四平,16,SUV,12.98-18.48,燃油车,2
小鹏P7+,江门,31,中大型车,18.68-20.88,新能源,11
福瑞迪,四平,16,紧凑型车,7.88-10.28,燃油车,3
汉兰达,江门,31,SUV,24.98-34.88,新能源,9
海豹06新能源,湖州,31,中型车,9.98-13.98,新能源,7
零跑C16,湖州,31,SUV,15.18-18.98,新能源,9
朗逸,四平,16,紧凑型车,8.00-15.19,燃油车,3
五菱宏光新能源,惠州,31,MPV,6.88-7.38,新能源,1
零跑C10,惠州,31,SUV,12.28-16.88,新能源,9
卡罗拉,四平,16,紧凑型车,11.68-15.58,燃油车,3
哈弗大狗,朔州,16,SUV,11.99-16.79,燃油车,2
汉兰达,惠州,31,SUV,24.98-34.88,新能源,9
宏光MINIEV,黄冈,31,微型车,3.28-9.99,新能源,9
昂科威Plus,朔州,16,SUV,22.99-25.99,燃油车,2
迈腾,朔州,16,中型车,17.49-24.69,燃油车,6
本田CR-V,朔州,16,SUV,18.59-26.39,燃油车,2
问界M9,淮安,31,SUV,46.98-56.98,新能源,9
帝豪,双鸭山,16,紧凑型车,6.29-14.98,燃油车,3
途观L,十堰,16,SUV,18.68-26.68,燃油车,2
宝马3系,十堰,16,中型车,29.99-39.99,燃油车,4
库斯途,深圳,16,MPV,16.98-22.08,燃油车,1
凌渡,深圳,16,紧凑型车,14.39-19.09,燃油车,3
元PLUS,衡阳,31,SUV,11.58-14.78,新能源,9
问界M9,衡水,31,SUV,46.98-56.98,新能源,9
长安启源Q07,邵阳,16,SUV,12.98-17.18,燃油车,2
帝豪,邵阳,16,紧凑型车,6.29-14.98,燃油车,3
捷途自由者,绍兴,16,SUV,12.49-15.49,燃油车,2
传祺E8,绍兴,16,MPV,16.68-23.58,燃油车,1
卡罗拉,绍兴,16,紧凑型车,11.68-15.58,燃油车,3
别克GL8,绍兴,16,MPV,23.29-47.39,燃油车,1
皓影,韶关,16,SUV,18.59-26.39,燃油车,2
海豚,抚州,31,小型车,9.98-12.98,新能源,9
红旗HS5,韶关,16,SUV,18.38-24.98,燃油车,2
奇瑞iCAR 03,汕头,16,SUV,10.98-16.98,燃油车,2
逍客,上饶,16,SUV,12.59-17.49,燃油车,2
长安启源Q07,商丘,16,SUV,12.98-17.18,燃油车,2
日产N7,商丘,16,中大型车,11.99-14.99,燃油车,12
哈弗枭龙MAX,商丘,16,SUV,13.18-17.98,燃油车,2
小麒麟,商丘,16,微型车,4.99-5.19,燃油车,4
逸动,三明,16,紧凑型车,7.29-9.69,燃油车,3
宝来,三明,16,紧凑型车,11.29-14.39,燃油车,3
帕萨特,三明,16,中型车,16.45-23.99,燃油车,5
哈弗大狗,三门峡,16,SUV,11.99-16.79,燃油车,2
卡罗拉锐放,日照,16,SUV,12.98-18.48,燃油车,2
T-ROC探歌,日照,16,SUV,15.89-17.87,燃油车,2
五菱缤果PLUS,衢州,16,SUV,7.58-9.88,燃油车,2
银河星耀8,泉州,16,中大型车,12.58-16.58,燃油车,12
长安欧尚X5 PLUS,泉州,16,SUV,9.19-11.49,燃油车,2
赛那SIENNA,泉州,16,MPV,29.98-41.18,燃油车,1
欧拉好猫,泉州,16,小型车,10.58-13.58,燃油车,4
缤越,泉州,16,SUV,6.68-10.38,燃油车,2
传祺GS3,泉州,16,SUV,8.58-11.18,燃油车,2
汉,大连,31,中大型车,16.58-25.98,新能源,11
瑞虎7,泉州,16,SUV,7.49-13.99,燃油车,2
海鸥,大理,31,小型车,6.98-8.58,新能源,9
宋PLUS新能源,滁州,31,SUV,13.58-18.08,新能源,9
雷克萨斯NX,泉州,16,SUV,31.88-54.88,燃油车,2
红旗H5,齐齐哈尔,16,中型车,15.98-22.58,燃油车,4
威兰达,齐齐哈尔,16,SUV,17.38-26.48,燃油车,2
红旗HS5,齐齐哈尔,16,SUV,18.38-24.98,燃油车,2
博越,齐齐哈尔,16,SUV,9.28-12.58,燃油车,2
皇冠陆放,秦皇岛,16,SUV,27.78-35.28,燃油车,2
瑞虎5x,秦皇岛,16,SUV,5.99-9.99,燃油车,2
君越,秦皇岛,16,中型车,17.99-23.99,燃油车,4
风云T9,清远,16,SUV,12.99-19.39,燃油车,2
银河L6,清远,16,紧凑型车,8.28-14.98,燃油车,3
逸动,清远,16,紧凑型车,7.29-9.69,燃油车,3
奔驰C级,清远,16,中型车,33.48-38.06,燃油车,4
海豹06新能源,常德,31,中型车,9.98-13.98,新能源,7
凯翼昆仑,庆阳,16,SUV,9.89-16.99,燃油车,2
星越L,庆阳,16,SUV,13.72-17.97,燃油车,2
北京X7,庆阳,16,SUV,11.99-13.99,燃油车,2
捷达VA3,庆阳,16,紧凑型车,6.58-9.48,燃油车,3
长安CS75,庆阳,16,SUV,10.29-11.99,燃油车,2
欧萌达,青岛,16,SUV,10.99-12.99,燃油车,2
传祺GS8,青岛,16,SUV,15.98-24.68,燃油车,2
马自达3 昂克赛拉,青岛,16,紧凑型车,8.99-18.99,燃油车,3
捷途旅行者,黔西南,16,SUV,13.99-23.99,燃油车,2
零跑C11,蚌埠,31,SUV,14.88-20.98,新能源,9
秦L,北海,31,中型车,9.98-15.38,新能源,7
秦PLUS,巴中,31,紧凑型车,7.98-17.98,新能源,0
长安CS75 PLUS,黔西南,16,SUV,11.39-14.99,燃油车,2
瑞虎8,黔西南,16,SUV,9.78-16.19,燃油车,2
捷途X70,黔西南,16,SUV,10.69-14.99,燃油车,2
瑞虎9,黔南,16,SUV,15.29-20.99,燃油车,2
捷途旅行者,黔南,16,SUV,13.99-23.99,燃油车,2
五菱缤果,黔东南,16,小型车,5.68-8.88,燃油车,4
瑞虎9,黔东南,16,SUV,15.29-20.99,燃油车,2
瑞虎8 PRO,黔东南,16,SUV,11.99-16.69,燃油车,2
博越L,濮阳,16,SUV,9.99-14.97,燃油车,2
阿维塔12,郑州,31,中大型车,26.99-70.00,新能源,11
捷途大圣,濮阳,16,SUV,9.39-13.68,燃油车,2
捷途X70,濮阳,16,SUV,10.69-14.99,燃油车,2
奔驰C级,濮阳,16,中型车,33.48-38.06,燃油车,4
博越L,普洱,16,SUV,9.99-14.97,燃油车,2
欧萌达,普洱,16,SUV,10.99-12.99,燃油车,2
坦克500新能源,西宁,31,SUV,33.50-36.38,新能源,9
缤越,普洱,16,SUV,6.68-10.38,燃油车,2
瑞虎8,普洱,16,SUV,9.78-16.19,燃油车,2
红旗H5,萍乡,16,中型车,15.98-22.58,燃油车,4
阿维塔07,乌鲁木齐,31,SUV,21.99-28.99,新能源,9
迈腾,萍乡,16,中型车,17.49-24.69,燃油车,6
速腾,萍乡,16,紧凑型车,12.79-17.29,燃油车,3
哈弗枭龙MAX,平凉,16,SUV,13.18-17.98,燃油车,2
帝豪,平凉,16,紧凑型车,6.29-14.98,燃油车,3
RAV4荣放,平凉,16,SUV,16.98-26.38,燃油车,2
SKY EV01,天津,31,SUV,14.99-18.99,新能源,9
银河E5,平顶山,16,SUV,11.28-14.88,燃油车,2
哈弗枭龙MAX,平顶山,16,SUV,13.18-17.98,燃油车,2
凌宝uni,平顶山,16,微型车,2.98-4.18,燃油车,4
小鹏G6,石家庄,31,SUV,17.68-27.69,新能源,9
深蓝S07,石家庄,31,SUV,14.99-20.79,新能源,9
皓影,平顶山,16,SUV,18.59-26.39,燃油车,2
奥迪A6L,平顶山,16,中大型车,42.79-65.68,燃油车,12
宝马3系,平顶山,16,中型车,29.99-39.99,燃油车,4
银河星舰7 EM-i,盘锦,16,SUV,10.38-13.68,燃油车,2
小鹏MONA M03,沈阳,31,紧凑型车,11.98-15.58,新能源,0
途昂,盘锦,16,SUV,24.90-38.90,燃油车,2
逸动,盘锦,16,紧凑型车,7.29-9.69,燃油车,3
AION V,沈阳,31,SUV,12.98-19.36,新能源,9
奔驰E级新能源,沈阳,31,中大型车,52.19-53.86,新能源,11
宝马5系,宁德,16,中大型车,43.99-52.59,燃油车,12
银河L7,宁波,16,SUV,11.58-16.97,燃油车,2
魏牌 高山,宁波,16,MPV,30.98-40.58,燃油车,1
宝马iX1,宁波,16,SUV,29.99-33.99,燃油车,2
深蓝L07,上海,31,中型车,15.19-17.39,新能源,7
星纪元 ET,上海,31,SUV,17.28-31.98,新能源,9
帕萨特新能源,上海,31,中型车,21.72-24.22,新能源,7
索纳塔,宁波,16,中型车,13.98-20.58,燃油车,4
Macan,宁波,16,SUV,57.80-85.80,燃油车,2
星越L,内江,16,SUV,13.72-17.97,燃油车,2
帝豪,内江,16,紧凑型车,6.29-14.98,燃油车,3
MG4 EV,南京,31,紧凑型车,13.98-18.68,新能源,0
宝马3系,内江,16,中型车,29.99-39.99,燃油车,4
昂科威S,南通,16,SUV,19.69-22.29,燃油车,2
智己L6,南通,16,中大型车,21.99-34.59,燃油车,12
五菱宏光PLUS,南通,16,MPV,5.88-7.98,燃油车,1
五菱宏光S,南通,16,MPV,0.00-0.00,燃油车,1
五菱缤果,南充,16,小型车,5.68-8.88,燃油车,4
蒙迪欧,南充,16,中型车,14.98-22.98,燃油车,4
奥迪Q5L,牡丹江,16,SUV,34.98-48.88,燃油车,2
传祺GS3,牡丹江,16,SUV,8.58-11.18,燃油车,2
海豹05 DM-i,昆明,31,紧凑型车,7.98-10.38,新能源,0
智界R7,昆明,31,SUV,24.98-33.98,新能源,9
极氪7X,昆明,31,SUV,22.99-26.99,新能源,9
哈弗H6,牡丹江,16,SUV,9.89-14.69,燃油车,2
逸动,牡丹江,16,紧凑型车,7.29-9.69,燃油车,3
奥迪A6L,牡丹江,16,中大型车,42.79-65.68,燃油车,12
帕萨特,牡丹江,16,中型车,16.45-23.99,燃油车,5
银河星耀8,绵阳,16,中大型车,12.58-16.58,燃油车,12
荣威D6,绵阳,16,紧凑型车,9.98-13.98,燃油车,3
捷途山海T1,绵阳,16,SUV,13.49-17.99,燃油车,2
凯迪拉克CT5,绵阳,16,中型车,28.99-34.59,燃油车,4
RAV4荣放,绵阳,16,SUV,16.98-26.38,燃油车,2
皇冠陆放,梅州,16,SUV,27.78-35.28,燃油车,2
捷途X70,梅州,16,SUV,10.69-14.99,燃油车,2
宝马5系,梅州,16,中大型车,43.99-52.59,燃油车,12
领克900,眉山,16,SUV,30.99-41.69,燃油车,2
跨越星V5 EV,杭州,31,MPV,6.78-8.08,新能源,1
奥迪Q5L,眉山,16,SUV,34.98-48.88,燃油车,2
别克GL8新能源,海口,31,MPV,24.99-41.99,新能源,1
五菱宏光S,眉山,16,MPV,0.00-0.00,燃油车,1
奥迪A3,眉山,16,紧凑型车,16.59-25.13,燃油车,3
深蓝S07,贵阳,31,SUV,14.99-20.79,新能源,9
日产N7,茂名,16,中大型车,11.99-14.99,燃油车,12
铂智3X,茂名,16,SUV,10.98-15.98,燃油车,2
熊猫,茂名,16,微型车,2.99-5.39,燃油车,1
五菱宏光V,茂名,16,MPV,4.31-5.45,燃油车,1
长安启源A07,马鞍山,16,中大型车,11.99-17.69,燃油车,12
极狐 阿尔法S5,马鞍山,16,中型车,12.78-18.48,燃油车,4
瑞虎8 PLUS,马鞍山,16,SUV,10.99-16.29,燃油车,2
红旗HS5,马鞍山,16,SUV,18.38-24.98,燃油车,2
奔驰GLC,马鞍山,16,SUV,42.78-53.13,燃油车,2
小鹏G9,福州,31,SUV,24.88-35.99,新能源,9
博越L,吕梁,16,SUV,9.99-14.97,燃油车,2
捷达VA3,吕梁,16,紧凑型车,6.58-9.48,燃油车,3
腾势Z9GT,成都,31,中大型车,33.48-41.48,新能源,11
迈腾,吕梁,16,中型车,17.49-24.69,燃油车,6
宋L EV,成都,31,SUV,18.98-24.98,新能源,9
理想MEGA,成都,31,MPV,52.98-55.98,新能源,7
红旗H5,泸州,16,中型车,15.98-22.58,燃油车,4
RAV4荣放,泸州,16,SUV,16.98-26.38,燃油车,2
凯美瑞,泸州,16,中型车,17.18-25.98,燃油车,13
深蓝G318,长沙,31,SUV,17.59-31.80,新能源,9
领克07 EM-P,洛阳,16,中型车,16.98-18.98,燃油车,4
昂科威Plus,漯河,16,SUV,22.99-25.99,燃油车,2
宝马3系,漯河,16,中型车,29.99-39.99,燃油车,4
银河星舰7 EM-i,六安,16,SUV,10.38-13.68,燃油车,2
纳米01,六安,16,小型车,6.58-13.98,燃油车,4
长安启源A07,六安,16,中大型车,11.99-17.69,燃油车,12
瑞虎8 PRO,六安,16,SUV,11.99-16.69,燃油车,2
欧萌达,六安,16,SUV,10.99-12.99,燃油车,2
逸动,六安,16,紧凑型车,7.29-9.69,燃油车,3
帕萨特,六安,16,中型车,16.45-23.99,燃油车,5
五菱缤果,娄底,16,小型车,5.68-8.88,燃油车,4
汉,西安,310,中大型车,16.58-25.98,新能源,11
艾瑞泽8,娄底,16,紧凑型车,9.99-14.89,燃油车,3
卡罗拉锐放,娄底,16,SUV,12.98-18.48,燃油车,2
银河E5,龙岩,16,SUV,11.28-14.88,燃油车,2
长安CS75 PLUS,龙岩,16,SUV,11.39-14.99,燃油车,2
宏光MINIEV,成都,312,微型车,3.28-9.99,新能源,7
问界M9,苏州,313,SUV,46.98-56.98,新能源,9
博越L,柳州,16,SUV,9.99-14.97,燃油车,2
宋PLUS新能源,海口,313,SUV,13.58-18.08,新能源,9
马自达3 昂克赛拉,柳州,16,紧凑型车,8.99-18.99,燃油车,3
逍客,柳州,16,SUV,12.59-17.49,燃油车,2
长安启源Q07,六盘水,16,SUV,12.98-17.18,燃油车,2
唐L,成都,314,SUV,22.98-28.98,新能源,13
元PLUS,北京,315,SUV,11.58-14.78,新能源,9
Model 3,武汉,315,中型车,23.19-33.95,新能源,7
瑞虎9,六盘水,16,SUV,15.29-20.99,燃油车,2
瑞虎8 PLUS,六盘水,16,SUV,10.99-16.29,燃油车,2
北京X7,六盘水,16,SUV,11.99-13.99,燃油车,2
宋PLUS新能源,南京,316,SUV,13.58-18.08,新能源,9
理想L9,杭州,316,SUV,40.98-43.98,新能源,9
奥迪Q5L,六盘水,16,SUV,34.98-48.88,燃油车,2
问界M9,长沙,316,SUV,46.98-56.98,新能源,9
宝马5系,六盘水,16,中大型车,43.99-52.59,燃油车,12
理想L9,成都,317,SUV,40.98-43.98,新能源,13
Model 3,长沙,317,中型车,23.19-33.95,新能源,7
逍客,六盘水,16,SUV,12.59-17.49,燃油车,2
悦意03,丽水,16,SUV,7.98-12.29,燃油车,2
奥迪Q5L,丽水,16,SUV,34.98-48.88,燃油车,2
宝马X1,丽水,16,SUV,28.89-34.99,燃油车,2
速腾,丽水,16,紧凑型车,12.79-17.29,燃油车,3
领克07 EM-P,临沂,16,中型车,16.98-18.98,燃油车,4
风云T9,临沂,16,SUV,12.99-19.39,燃油车,2
元UP,临沂,319,SUV,9.68-11.98,新能源,9
smart精灵#1,临沂,16,SUV,15.49-28.49,燃油车,2
五菱荣光S,临沂,16,MPV,4.09-4.76,燃油车,1
长安睿行EM60,临沂,16,MPV,7.09-17.29,燃油车,1
红旗HQ9 PHEV,北京,32,MPV,35.88-53.88,新能源,1
荣威RX5,临沂,16,SUV,9.99-15.59,燃油车,2
蔚来ES8,北京,32,SUV,49.80-59.80,新能源,9
奔腾小马,临汾,16,微型车,2.49-5.39,燃油车,4
魏牌 高山,临汾,16,MPV,30.98-40.58,燃油车,1
瑞虎8 PRO,临汾,16,SUV,11.99-16.69,燃油车,2
五菱荣光S,临汾,16,MPV,4.09-4.76,燃油车,1
海鸥,自贡,32,小型车,6.98-8.58,新能源,9
捷达VA3,临汾,16,紧凑型车,6.58-9.48,燃油车,3
传祺M8,临汾,16,MPV,17.98-34.28,燃油车,1
凯美瑞,临汾,16,中型车,17.18-25.98,燃油车,13
锋兰达,临沧,16,SUV,12.58-18.48,燃油车,2
迈腾,辽源,16,中型车,17.49-24.69,燃油车,6
五菱缤果,辽阳,16,小型车,5.68-8.88,燃油车,4
格瑞维亚,辽阳,16,MPV,29.98-41.68,燃油车,1
腾势D9,珠海,32,MPV,33.98-66.00,新能源,1
钇为3,聊城,16,小型车,6.99-14.99,燃油车,4
宝马X5,聊城,16,SUV,61.50-83.00,燃油车,2
瑞虎8 PLUS,聊城,16,SUV,10.99-16.29,燃油车,2
红旗HS5,聊城,16,SUV,18.38-24.98,燃油车,2
途昂,聊城,16,SUV,24.90-38.90,燃油车,2
五菱之光新能源,中山,32,MPV,4.78-5.08,新能源,1
小鹏G9,中山,32,SUV,24.88-35.99,新能源,9
AION V,中山,32,SUV,12.98-19.36,新能源,9
艾力绅,聊城,16,MPV,27.98-33.18,燃油车,1
铂智3X,连云港,16,SUV,10.98-15.98,燃油车,2
博越L,连云港,16,SUV,9.99-14.97,燃油车,2
海鸥,昭通,32,小型车,6.98-8.58,新能源,9
卡罗拉锐放,连云港,16,SUV,12.98-18.48,燃油车,2
长安UNI-V,连云港,16,紧凑型车,10.89-13.99,燃油车,3
欧拉好猫,连云港,16,小型车,10.58-13.58,燃油车,4
元PLUS,湛江,32,SUV,11.58-14.78,新能源,9
奔驰GLC,连云港,16,SUV,42.78-53.13,燃油车,2
昂科威Plus,凉山,16,SUV,22.99-25.99,燃油车,2
秦PLUS,张家界,32,紧凑型车,7.98-17.98,新能源,0
汉,枣庄,32,中大型车,16.58-25.98,新能源,11
MG5,凉山,16,紧凑型车,6.79-9.99,燃油车,3
五菱之光新能源,运城,32,MPV,4.78-5.08,新能源,1
别克GL8新能源,运城,32,MPV,24.99-41.99,新能源,1
海豹06新能源,运城,32,中型车,9.98-13.98,新能源,7
银河E5,乐山,16,SUV,11.28-14.88,燃油车,2
海狮05 EV,岳阳,32,SUV,11.78-13.78,新能源,9
博越L,乐山,16,SUV,9.99-14.97,燃油车,2
秦PLUS,益阳,32,紧凑型车,7.98-17.98,新能源,0
捷途旅行者,乐山,16,SUV,13.99-23.99,燃油车,2
凌渡,乐山,16,紧凑型车,14.39-19.09,燃油车,3
雷克萨斯ES,乐山,16,中大型车,29.69-48.89,燃油车,12
唐新能源,伊犁,32,SUV,17.98-26.98,新能源,9
领克900,廊坊,16,SUV,30.99-41.69,燃油车,2
夏,廊坊,16,MPV,24.98-30.98,燃油车,1
钛3,廊坊,16,SUV,13.38-19.38,燃油车,2
宝马X1,廊坊,16,SUV,28.89-34.99,燃油车,2
奥迪Q3,廊坊,16,SUV,25.18-29.68,燃油车,2
问界M8,盐城,32,SUV,35.98-44.98,新能源,9
海豹06GT,盐城,32,中型车,13.68-18.68,新能源,7
君越,廊坊,16,中型车,17.99-23.99,燃油车,4
海豹05 DM-i,徐州,32,紧凑型车,7.98-10.38,新能源,0
锐界,克拉玛依,16,SUV,22.68-30.98,燃油车,2
捷途旅行者,喀什,16,SUV,13.99-23.99,燃油车,2
哈弗H6,喀什,16,SUV,9.89-14.69,燃油车,2
海狮05 EV,信阳,32,SUV,11.78-13.78,新能源,9
逍客,喀什,16,SUV,12.59-17.49,燃油车,2
格瑞维亚,开封,16,MPV,29.98-41.68,燃油车,1
途观L,开封,16,SUV,18.68-26.68,燃油车,2
MG5,开封,16,紧凑型车,6.79-9.99,燃油车,3
Model 3,邢台,32,中型车,23.19-33.95,新能源,7
秦L,锡林郭勒,32,中型车,9.98-15.38,新能源,7
银河L6,锦州,16,紧凑型车,8.28-14.98,燃油车,3
极狐 阿尔法S5,锦州,16,中型车,12.78-18.48,燃油车,4
星愿,鸡西,16,小型车,6.88-9.78,燃油车,4
海鸥,湘潭,32,小型车,6.98-8.58,新能源,9
卡罗拉锐放,鸡西,16,SUV,12.98-18.48,燃油车,2
AION RT,无锡,32,紧凑型车,11.98-16.58,新能源,0
豹5,酒泉,16,SUV,23.98-32.98,燃油车,2
宋PLUS新能源,乌兰察布,32,SUV,13.58-18.08,新能源,9
锋兰达,酒泉,16,SUV,12.58-18.48,燃油车,2
长安CS75,酒泉,16,SUV,10.29-11.99,燃油车,2
逸动,酒泉,16,紧凑型车,7.29-9.69,燃油车,3
宋Pro新能源,渭南,32,SUV,10.28-14.28,新能源,9
日产N7,九江,16,中大型车,11.99-14.99,燃油车,12
海狮05 EV,潍坊,32,SUV,11.78-13.78,新能源,9
eπ008,九江,16,SUV,17.86-20.36,燃油车,2
eπ007,九江,16,中大型车,11.59-19.96,燃油车,12
奥迪A4L,九江,16,中型车,28.98-40.08,燃油车,4
汉兰达,潍坊,32,SUV,24.98-34.88,新能源,9
风云T9,晋中,16,SUV,12.99-19.39,燃油车,2
QQ冰淇淋,济宁,16,微型车,2.99-5.69,燃油车,4
凡尔赛C5 X,济宁,16,中型车,9.97-18.67,燃油车,4
传祺M6,济宁,16,MPV,11.98-15.98,燃油车,1
捷途X70,济宁,16,SUV,10.69-14.99,燃油车,2
瑞虎5x,济宁,16,SUV,5.99-9.99,燃油车,2
瑞虎3x,济宁,16,SUV,4.99-8.49,燃油车,2
奔驰GLC,济宁,16,SUV,42.78-53.13,燃油车,2
威朗,济宁,16,紧凑型车,12.89-15.89,燃油车,3
荣威D6,金华,16,紧凑型车,9.98-13.98,燃油车,3
红旗HS3 PHEV,唐山,32,SUV,15.98-15.98,新能源,9
纳米01,金华,16,小型车,6.58-13.98,燃油车,4
宝马iX1,金华,16,SUV,29.99-33.99,燃油车,2
长安欧尚X5 PLUS,金华,16,SUV,9.19-11.49,燃油车,2
哈弗大狗,金华,16,SUV,11.99-16.79,燃油车,2
宝马5系(进口),金华,16,中大型车,43.99-52.59,燃油车,12
帕萨特,荆州,16,中型车,16.45-23.99,燃油车,5
红旗H5,晋城,16,中型车,15.98-22.58,燃油车,4
坦克300新能源,苏州,32,SUV,24.98-26.98,新能源,2
小麒麟,晋城,16,微型车,4.99-5.19,燃油车,4
坦克300,吉林,16,SUV,19.98-33.00,燃油车,2
皇冠陆放,揭阳,16,SUV,27.78-35.28,燃油车,2
哈弗H6,揭阳,16,SUV,9.89-14.69,燃油车,2
小鹏MONA M03,宿迁,32,紧凑型车,11.98-15.58,新能源,0
瑞虎8L,嘉兴,16,SUV,12.99-17.49,燃油车,2
哈弗枭龙MAX,嘉兴,16,SUV,13.18-17.98,燃油车,2
瑞虎8 PLUS,嘉兴,16,SUV,10.99-16.29,燃油车,2
吉利ICON,嘉兴,16,SUV,9.69-12.99,燃油车,2
缤瑞,嘉兴,16,紧凑型车,8.98-10.98,燃油车,3
奔驰GLE,嘉兴,16,SUV,69.98-88.98,燃油车,2
艾瑞泽8,焦作,16,紧凑型车,9.99-14.89,燃油车,3
长安启源Q07,江门,16,SUV,12.98-17.18,燃油车,2
宝马X5,江门,16,SUV,61.50-83.00,燃油车,2
宝来,吉安,16,紧凑型车,11.29-14.39,燃油车,3
博越L,佳木斯,16,SUV,9.99-14.97,燃油车,2
哈弗大狗,佳木斯,16,SUV,11.99-16.79,燃油车,2
博越L,湖州,16,SUV,9.99-14.97,燃油车,2
雷克萨斯NX,湖州,16,SUV,31.88-54.88,燃油车,2
长安启源Q07,呼伦贝尔,16,SUV,12.98-17.18,燃油车,2
银河L6,呼伦贝尔,16,紧凑型车,8.28-14.98,燃油车,3
元UP,上饶,32,SUV,9.68-11.98,新能源,9
汉,商丘,32,中大型车,16.58-25.98,新能源,11
奥迪Q5L,呼伦贝尔,16,SUV,34.98-48.88,燃油车,2
奇骏,呼伦贝尔,16,SUV,17.99-26.29,燃油车,2
奥迪A6L,呼伦贝尔,16,中大型车,42.79-65.68,燃油车,12
长安CS55PLUS,葫芦岛,16,SUV,9.29-12.59,燃油车,2
五菱宏光S,葫芦岛,16,MPV,0.00-0.00,燃油车,1
凯美瑞,葫芦岛,16,中型车,17.18-25.98,燃油车,13
问界M7,泉州,32,SUV,24.98-32.98,新能源,9
问界M5,泉州,32,SUV,22.98-27.98,新能源,9
领克07 EM-P,惠州,16,中型车,16.98-18.98,燃油车,4
宝马i3,惠州,16,中型车,35.39-41.39,燃油车,4
型格,惠州,16,紧凑型车,12.99-18.69,燃油车,3
MG7,惠州,16,中型车,11.98-17.89,燃油车,4
